유형,한글명칭,설명,내용
사건,5·16 군사정변,,"1961년 5월 16일 새벽, 제2군 부사령관인 소장 박정희와 8기생 주도세력은 장교 250여 명 및 사병 3,500여 명과 함께 한강을 건너 서울의 주요기관을 점령하였다. 해병 제1여단장 김윤근 준장의 지휘로 해병대가 출동하게 된 것을 기점으로, 해병대와 공수부대가 한강 대교에 도달하였으며, 장도영 육군참모총장의 지시로 출동한 헌병 제7중대 병력과 약간의 총격전 끝에 서울 시내로 진입하였다. 이들은 아무런 제지를 받지 않고 육군본부를 접수한 뒤, 주력은 서울시청에 진주하고, 해병대는 치안국과 서울시 경찰국을, 공수단은 중앙방송국을 이날 오전 4시 30분경 각각 접수하였다. 방송국을 접수한 쿠데타 세력은 라디오 방송으로 6개 항의 ‘혁명공약’을 발표하고, 비상계엄령을 선포했다. 그 6개항이란 ① 반공을 국시의 제일로 삼고 반공 태세를 재정비 강화할 것, ② 미국을 위시한 자유우방과의 유대를 공고히 할 것, ③ 모든 부패와 구악을 일소하고 청렴한 기풍을 진작시킬 것, ④ 민생고를 시급히 해결하고 국가 자주경제의 재건에 총력을 경주할 것, ⑤ 국토통일을 위하여 공산주의와 대결할 수 있는 실력을 배양할 것, ⑥ 양심적인 정치인에게 정권을 이양하고 군은 본연의 임무로 복귀한다는 것이었다. 혁명공약 첫머리에서 ‘반공을 국시로’ 한다는 점을 가장 먼저 내세웠던 것은 일반 국민은 물론 미국 측의 사상 검증을 염두에 둔 표현이었다. 또한 반공을 제외하면 쿠데타그룹의 정치적 입장이 동질적이지 않았다. 박정희 개인의 연설이나 저서에서 나타나는 주장을 살펴보면 기존의 반공주의자들과 달리 소련이 아니라 자국의 ‘민족성’에 분단과 전쟁의 책임을 돌린다는 점이 특징이다. 또한 과도기적, 행정적, 민족적, 한국적 민주주의를 주장하는데, 당대 인도네시아 수카르노(Achmed Sukarno)의 교도적(guided) 민주주의나 대만 장제스의 군정-훈정-헌정론과 유사성을 갖는다. 쿠데타 직후에는 이런 논리가 『사상계』의 장준하나 『민족일보』 등 대학가나 지식인층에서 호응을 얻기도 했다. 대대 단위까지 군사고문단을 파견하고 있던 미국은 한국군 내부 쿠데타 발생가능성을 인지하고 본국에 보고까지 했던 상황이었으나, 발발 직후 쿠데타 세력과 공식적으로 선을 그었다. 당일 오전 10시 18분 매그루더(Carter Bowie Magruder) 유엔군사령관과 그린(Marshall Green) 주한 미 대사대리는 즉각 민주당 정부에 대한 지지를 표명하고 군 내부 질서유지를 요망하는 성명을 발표했다. 특히 한국군에 대한 작전지휘권은 유엔군사령관에게 귀속되어 있었으므로, 매그루더는 본인의 권한을 침범당했다고 불쾌해하고 있었다. 그랬기 때문에 오전 11시 30분경 윤보선 대통령을 면담하는 자리에서도 여전히 쿠데타를 진압하자는 강경책을 제시했으며, 19일 쿠데타 주도세력을 만난 자리에서도 이 점을 문제로 삼았다. 쿠데타 직후 수녀원에 은신했던 장면 총리는 매그루더와 그린이 합법정부를 지지하는 성명을 발표한 직후, 미 대사관과 접촉하여 유엔군 사령관이 상황을 정리해주기를 요청했다. 그러나 매그루더는 미군을 직접 동원하는 방안에 대해서는 반대 입장을 표명했다. 일단 한국 정부가 수립된 이후부터는, 내정에 개입하더라도 최대한 간접적인 방식을 취했던 것이 미국 정부의 일관된 입장이었다. 그래서 유엔군 사령관은 이 경우에도 한국정부 총리나 대통령의 재가를 얻어 한국군을 동원하려고 했다. 총리가 부재한 상태에서 군 통수권을 행사해야 할 대통령을 방문한 매그루더와 그린은, 윤보선으로부터 쿠데타 진압에 대한 반대의사를 전해들었다. 장면과 민주당 신·구파 갈등을 겪고 있던 윤보선은 쿠데타에 대해 정적이던 장면을 제거할 수 있는 기회로 인식했던 것으로 보인다. 쿠데타 이틀 뒤인 18일에는 1군 사령관 이한림이 체포되었고, 육군사관학교 생도들이 ‘군사혁명’을 지지하는 가두행진을 벌였으며, 결정적으로 장면 총리가 내각 총사퇴를 발표하고 정권을 군사혁명위원회에 이양했다. 19일에는 매그루더 유엔군사령관이 쿠데타 지도부와 접촉했으며, 군사혁명위원회가 국가재건최고회의로 개편되었다. 쿠바 피그스만 공격 때문에 정치적인 부담을 지고 있던 미국 정부는 일관되게 불개입 태도를 유지했으나, 사실상 현상유지 입장에 가까웠다. 유엔군 보좌관이었던 하우스만(James Harry Hausman), 신임 주한미국대사 버거(Samuel David Berger) 등 현지에 파견되어 있던 관계자들이 지지를 해주면서 미국정부는 20일에 쿠데타를 추인했고. 같은 날 최고회의는 혁명내각을 발표하고 중앙정보부를 구성했다. 이후 7월에는 미국 국무부가 공식적으로 군사정부 지지성명을 내었다."
사건,5·16 군사정변,,"초기에 최고회의는 의장으로 참모총장 장도영을 내세웠지만 장도영은 곧 반혁명 음모 사건으로 축출되고, 실세이던 박정희가 전면에 등장했다. 이들은 쿠데타 직후 대중적 지지를 얻기 위해 일련의 ‘정화’ 조치를 시행했다. 정치계에서는 구 정치인들을 정계에서 축출해야 된다는 명분으로 정치활동정화법을 만들어서 정당·사회단체를 전면 해체했다. 한편으로는 사회정화를 내세우면서 병역기피자·밀수·조직폭력배 등을 일소한다는 명분으로 강력한 단속을 시행했다. 또한 언론정화라는 명목으로 언론매체를 통폐합하고 공보부를 신설하여 검열과 통제를 강화했다. 또한 농촌지역의 지지를 염두에 두고 농어촌 고리채 정리사업을, 생활개선·정신개조 등의 목적으로 재건국민운동이라는 이름의 대중동원 정책을 추진했으나 실효성 있는 성과를 내지는 못하였다. 이런 과정에서 서서히 혁신계를 숙청하고 장면 정권 시기 생겨난 유족회들을 탄압하며 정권을 장악하기 시작했다. 그리하여 민주당 정권 당시 추진했던 반공법을 제정하고, 국가보안법도 개정했다. 또한 쿠데타 3달 뒤인 8월, 최고회의 박정희 의장은 민정 이양을 예정보다 2년 뒤로 미루겠다고 발표했다. 미국은 민정이양을 강력하게 주장하여 군사정권과 갈등을 빚기도 했지만, 한편으로는 1961년 말 박정희 의장을 미국에 대표 자격으로 초청하여 쿠데타 세력에 힘을 실어주기도 했다. 민정 이양에 비협조적인 태도로 일관하던 이들도 결국 미국의 집중적 압력과 국내 정치세력의 반발로 민정 이양 일정을 발표할 수밖에 없었다. 1962년 12월 17일 국가재건최고회의는 국민투표로 헌법을 개정하였다. 권력구조를 대통령제로, 선거제도를 제1공화국의 직접선거제로 되돌려 놓은 형태였다. 부통령제를 없애고 국무총리제를 설치했으며, 비례대표제를 채택했다는 점에서 3공화국 헌법은 오늘날 6공화국 헌법과 유사성을 갖는다. 곧이어 1963년 2월에는 김종필 주도로 1년 여간 물밑에서 준비를 거쳐 민주공화당을 창당했다. 이 시기를 전후하여 이른바 ‘4대 의혹’ 사건이 터지면서 박정희 그룹이 주가조작, 횡령을 통해 정치자금을 착복한 정황이 드러났고, ‘구악 뺨치는 신악’이라며 대중들의 기대가 떨어지기도 했다. 그러나 결국 1963년 8월, 박정희는 전역해서 민간인 신분으로 공화당 총재직과 대선후보를 수락했다. 그 해 10월 15일 열린 대통령 선거에서 민주공화당 박정희 후보는 민주정의당 윤보선 후보를 아슬아슬하게 이기고 명실상부한 민간인 대통령으로 당선되었다."
사건,5·18 광주 민주화운동,,"1980년 5월 18일부터 5월 27일까지 광주 및 전라남도에서 시민들이 신군부에 맞서 싸운 대중봉기 형태의 항쟁을 5·18 광주 민주화운동이라 부른다. 운동 참여자들은 계엄령 철폐, 전두환 퇴진, 김대중 석방 등의 구호를 외쳤으며 공수여단의 강경진압으로 희생자가 발생하자 5월 21일 시민군을 조직하여 계엄군을 광주 외곽으로 몰아냈다. 5월 27일 새벽 공수부대의 진압작전으로 항쟁은 종결되었다. 희생자는 사망자 165명, 행방불명자 65명, 상이 후 사망자 376명 등 606명으로 집계되었으나 암매장자 및 미신고 인원을 고려했을 때에 더 많을 것으로 추정된다."
사건,5·18 광주 민주화운동,,"1979년 10월 26일 박정희 대통령이 사망하자 노동자, 농민, 학생, 재야인사 등은 억눌렸던 민주화 요구를 분출하였다. 민주주의 회복을 둘러싸고 다양한 전망들이 발산하는 가운데 12월 12일 전두환·노태우의 하나회를 중심으로 신군부 세력은 쿠데타를 일으켰다. 신군부는 계엄사령관이었던 정승화 육군참모총장과 군 지휘부를 불법 연행하여 군 지휘권을 장악하였다. 1980년 4월부터 전개된 노동쟁의는 5월 초까지 전국에서 격렬하게 전개되었고, 대학생들은 5월 13일부터 캠퍼스를 벗어나 거리에서 계엄령 해제, 민주주의 회복을 외치며 시위에 나섰다. 5월 15일 서울역에는 10만 명의 대학생이 결집하였는데 총학생회장단은 시위대 해산을 결정하였다. 이를 ‘서울의 봄’과 ‘서울역 회군’이라 부른다. 한편 신군부는 북한 남침설을 유포하고 대중운동을 사회혼란으로 규정하였다. 1980년 2월부터 후방 부대에 시위진압 지침을 전달하고 공세적인 진압훈련인 ‘충정훈련’을 실시하였다. 군의 사회개입은 대학생 시위가 소강 사태에 접어든 5월 17일 전군 주요지휘관 회의에서 구체화되었다. 이 회의에서 비상계엄의 전국 확대가 결의되었고, 국무회의는 이를 형식적으로 승인하는 절차였다. 5월 17일 24시부로 비상계엄이 전국으로 확대되고, 새벽 2시 국회는 무력으로 봉쇄되었다. 계엄 확대 이전인 17일 밤부터 전국 군·검·경 합동수사본부는 학생, 정치인, 재야인사 등을 예비검속으로 불법 연행하였다. 비상계엄 전국 확대는 신군부가 직접 사회를 장악하고, 신군부에 저항하는 세력을 ‘적색분자’, ‘불순세력’, ‘폭도’ 등으로 규정하는 조치였다."
사건,5·18 광주 민주화운동,,"비상계엄이 확대되자 7공수여단이 전라남북도 주요 대학을 점거하였다. 7공수여단은 대학을 점거하며 물리력을 사용했고, 전북대에서는 ‘비상계엄 철폐 및 전두환 퇴진’ 밤샘 농성을 하던 이세종이 공수부대원들에게 쫓겨 사망하였다. 광주 전남대, 조선대에 남아 있던 학생들도 공수부대에게 구타 및 연행을 당하였다. 5월 18일 아침, 전남대 정문 앞에서는 비상계엄과 휴교령에 반발하는 학생 시위가 전개되었고, 7공수여단은 학생들을 강제 해산시켰다. 학생들은 전남도청이 있는 금남로 및 광주 시내 곳곳에서 산발적인 시위를 벌였고, 경찰은 최루탄 등을 사용하며 이들을 진압하였다. 오후부터 7공수여단이 직접 시위대 진압에 나서며 상황이 급변하였다. 군 지휘부는 포고령 위반자의 엄중 처리, 소요자 타격 및 체포 명령을 내렸고, 공수부대는 진압봉뿐 아니라 총기 개머리판, 대검까지 휘두르며 공세적 진압에 나섰다. 연행자를 금남로에서 옷 벗기고 구타하는 상황이 지속됐다. 이날 하루 동안 학생 224명, 일반인 181명 등 405명이 연행되었다. 5월 19일, 11공수여단이 광주에 추가 투입되었고, 공수부대는 2인 1조로 순찰하며 금남로 일대를 완전히 통제하였다. 군은 장갑차, 헬기 등 중장비를 시위 진압에 투입하였다. 시민들은 적극적으로 공수부대 진압을 곳곳에서 저지하였다. 4시 40분경, 동원빌딩 인근에서 분노한 시민들이 계엄군 장갑차를 공격했고, 이 과정에서 11공수여단 장교의 발포로 총상자가 발생하였다. 5월 20일은 운동의 첫 번째 분수령인 날이었다. 군의 강경진압에 항의하는 시민이 기하급수적으로 늘었고, 시위대는 언론 왜곡보도의 상징인 광주MBC와 행정을 상징하는 광주세무서를 불태웠다. 이날 군은 보고에서 4~5만 명의 시위대가 기물을 파손하고 계엄군과 대치한다고 보고하였다. 군은 시위대를 ‘난동자’로 보았고, 일선 부대에 M16 실탄 배부 및 무장을 명령했다. 3공수여단이 광주 시청에서 시민을 향해 발포하였고, 다음날 새벽 병력이 광주역에서 전남대로 복귀하면서 시민들과 충돌하여 많은 희생자가 발생하였다. 5월 21일 새벽, 시민들은 광주역 앞에 방치된 시위 참여자 시신들을 발견하였다. 시신을 수습하고 공수부대의 만행을 시내 도처에 알리면서 금남로로 행진하였고 전남도청 앞에서 계엄군과 대치하였다. 오전에만 10만여 명이 거리로 나왔으며 시민대표단은 전남도지사를 만나 사과 및 연행자 석방, 공수부대 철수를 요구했다. 그러나 정오를 기해 전남도청 앞, 전남대 정문 부근에서 공수부대는 집단 발포를 시작했다. 이를 계기로 시민들은 광주 부근 무기고를 털어 자체 무장을 시작하고, 계엄군과 전투를 시작했다. 5월 21일 오후부터 공수부대는 시내를 벗어나 광주시 외곽을 봉쇄하며 새로운 경계를 만들었다. 그 내부에 존재하는 광주 시민을 ‘폭도’로 규정하였다. 이 때문에 광주를 벗어나거나 이동하는 민간인을 향한 무차별 발포가 시작되었다. 특히 3공수여단이 봉쇄작전을 펼쳤던 광주교도소 부근의 광주와 담양을 잇는 길목에서 많은 희생자가 발생하였다. 계엄군이 물러간 광주에서 시민군은 시내 방위대, 지역 방위대를 조직하여 자치질서를 수립했다. 시민군은 청소년의 총기 휴대 금지, 계엄군의 선제 발포시에만 사격 허용 등을 제시하며 총기 사고 예방에 힘썼다. 종교인, 지역유지 등으로 구성된 시민수습대책위원회는 계엄군과 협상 및 무기 회수를 시도하였다. 계엄군은 수습대책위원회의 협상안에 불응하였고 23~26일 도청 광장에서는 매일 시민궐기대회가 개최되었다. 5월 26일 젊은 청년을 중심으로 민주시민학생투쟁위원회가 결성되었고, 이들은 수습파를 도청에서 몰아내고 결사 항전을 결의했다. ‘해방구’ 광주는 정부와 군 입장에서 ‘치안부재의 상태’로 규정되었다. 최규하 대통령은 사태의 책임을 광주 시민에게 떠넘기는 특별담화를 발표했는데, 이에 윤공희 천주교 광주대교구 대주교는 ‘광주 시민들의 평화적인 시위를 다스리는 데 있어서 계엄군이 광주시 곳곳에서 천인공노할 잔악한 행위를 수많은 시민들이 지켜보는 한 가운데서 자행했기 때문에, 자기 아들, 딸들이 군인들의 몽둥이에 얻어맞고 구둣발에 채여 유혈이 낭자한 채 길바닥에 쓰러지고 다 죽게 뻗어버린 채로 차에 실려가는 것을 본 시민들이 얼마나 격노’한 것이라 반박하였다. 군은 5월 27일 새벽 3시 30분을 기점으로 최종 진압작전인 상무충정작전을 실행하였다. 공수여단 특공조가 광주 시내로 침투하였고, 20사단과 31사단이 외곽에서 시내로 진입했다. 4시 5분 전남도청에서 시민군과 교전이 벌어졌고, 4시 55분 전남도청 진압이 완료되었다. 새벽 5시를 전후로 광주관광호텔, 광주국군통합병원, 전남도청, 광주경찰서 등 주요 기관의 군부대 진입이 완료되었다. 이 작전으로 윤상원, 박용준을 비롯한 17명의 시민군이 사망했고, 227명이 연행되었다. 시민군은 지도부 명령에 의해 마지막 저항을 결정한 것이 아니었다. 윤상원 등 시위 지도부는 ‘굳은 각오와 결의가 없는 사람은 지금 나간다고 해도 말리지 않겠다’고 말했다. 시민군의 희생 속에서 열흘간 전개된 항쟁이 마무리되었다."
사건,5·18 광주 민주화운동,,"5·18 광주 민주화운동은 1979년 유신체제 붕괴에서 촉발된 전국적 민주화 요구의 연장선상에서 전개되었다. 운동 지도부는 유신독재와 신군부를 광주 비극의 원인으로 규정했다. 신군부를 ‘유신잔당’으로, 공수부대를 ‘전두환의 친위대’로 규정했다. 민주시민투쟁위원회 지도부 12명 가운데 절반이 넘는 7명은 1970년대 민주화운동 참여자였다. 운동은 1970년대부터 이어진 반유신 및 민주화운동의 지향을 일정 부분 계승하였다. 5월 21일과 22일 계엄군을 몰아내고 광주 시내에서 손쉽게 볼 수 있었던 태극기는 자유민주주의를 기반으로 한 저항성을 보여준다. 한편, 광주의 자치질서 확립과 전남도청 사수투쟁은 공동체, 도덕규범, 분배 정의 등을 요구했던 민중주의적 지향을 보여준다. 전국적인 5월 민주화 요구 속에서 광주에서만 대중봉기로 전개된 까닭은 다음과 같다. 첫째, 공수부대의 과잉진압이 그 원인이었다. 경찰로 통제가능한 시위에 군대가 개입하면서 희생자가 발생했고, 이것이 시민의 분노로 이어졌다. 둘째, 시위 및 강경진압이 발생했던 금남로의 장소성을 들 수 있다. 금남로는 광주 및 인근 지역의 버스까지 통행하던 교통 중심지였고, 오랫동안 행정 중심지이자 시민들의 참여와 저항이 이어지던 공간이다. 이 때문에 공수부대의 과잉진압 소식은 빠르게 인근 지역으로 전파될 수 있었다. 셋째, 호남 유력 정치인 김대중의 연행이 촉발한 측면이 있다. 1971년 신민당 대선 후보로서 전국적인 돌풍을 일으켰던 김대중은 박정희 사후 정치권력 장악 및 민주화 과정에서 핵심적인 인물이었다. 김대중 연행은 호남지역에서 신군부를 비판하는 정서를 확산시켰다."
사건,5·18 광주 민주화운동,,"5·18 광주 민주화운동은 사건 이후 한국 민주화운동의 자양분이 되었다. 전두환 정부는 운동을 내란, 폭동으로 규정했고, 민주화운동 세력은 정부에 맞서며 광주학살 진상규명 투쟁을 벌여나갔다. 광주가 희생되는 동안 아무것도 하지 못했다는 도덕적 부채와 지속적인 군부정권의 폭력은 대학가에 ‘광주세대’를 낳았고, 이들은 운동을 급진적으로 재현했다. ‘광주세대’는 전두환 정부를 친미적인 폭력 정권으로 이해했고, 이를 극복하기 위한 변혁운동의 필요성을 주장했다. 광주세대는 변혁이론에 기반하여 1970년대 민주화운동의 이데올로기적 한계를 극복하고자 했다. 이처럼 5·18 광주 민주화운동은 1980년대 변혁운동과 민주화운동에서 정서적·이념적인 저수지 역할을 했으며, 1987년 6월 민주항쟁으로 계승되었다. 제도적 민주화가 성취되고 1995년 ‘5·18민주화운동 등에 관한 특별법’이 제정되어 헌정질서 파괴 범죄행위에 대한 공소시효 정지 등이 결정되었다. 1997년 4월 전두환·노태우는 쿠데타와 광주 학살의 대가로 각각 무기징역, 17년형을 선고받았으나 같은 해 12월 특별 사면되었다. 같은 해에 국가기념일로 ‘5·18 민주화운동 기념일’이 제정되었고, 2011년 유네스코(UNESCO)는 관련 기록물을 세계기록유산으로 지정했다. 2018년에는 ‘5·18민주화운동 진상규명을 위한 특별법’이 제정되어 운동 당시 자행되었던 반민주적·반인권적 행위에 대한 진상규명 노력이 이어지고 있다."
사건,한국전쟁,,"6·25전쟁은 1950년 6월 25일 새벽, 38선 전역에 걸친 북한의 전면 남침을 통해 발발하였다. 본래 남북한 간의 전쟁으로 시작되었으나 전쟁 발발 직후 유엔군이, 유엔군의 38선 돌파 이후 중국군이 개입함으로써 국제전으로 비화되었다. 1951년 초부터 전선이 38선 부근에서 교착되고 전쟁이 장기화될 조짐을 보이자 양측은 휴전회담을 개시하여 1953년 7월 27일 휴전협정에 조인하였다. 전쟁으로 남북한 모두가 막대한 인명피해와 재산피해를 입었으며, 국제적으로는 냉전이 심화되었다."
사건,한국전쟁,,"제2차 세계대전 종전 이후, 일본군의 항복 접수와 무장해제를 위해 미국과 소련은 한반도를 분할 점령했다. 본래 분할점령은 임시적인 조치로 미국과 소련은 한반도 문제의 해결방안을 담은 모스크바 결정서에 따라 미소공동위원회를 구성하여 한반도에 임시 민주정부를 수립하고 해당 정부와 협력하여 미국, 영국, 중국, 소련 등 4대국에 신탁통치를 건의하도록 되어 있었다. 그러나 두 차례에 걸친 미소공동위원회가 실패로 돌아가면서 한국 문제는 미국의 제안에 따라 유엔으로 이관되었고 소련이 유엔의 남북한 총선거 결정을 거부함으로써, 남과 북에는 상대를 인정하지 않는 적대적인 두 개의 분단 정권이 수립되었다. 북한 지도부는 1949년 3월 무렵부터 한반도에 대한 무력통일을 구상했고 이의 실현을 위해 스탈린(Joseph Vissarionovich Stalin)의 승인을 얻고자 했다. 스탈린은 처음에는 주한미군의 남한 주둔과 북한의 군사력이 남한에 비해 절대적으로 우위가 아니라는 점을 들어 북한의 구상에 부정적인 입장을 보였다. 그러나 그는 1949년 6월 주한미군의 남한 철수가 완료되고 중화인민공화국 수립, 소련의 원자탄 실험 성공 등으로 사회주의권에 유리한 정세가 조성되었다고 판단했고, 중국의 지원을 조건으로 북한의 무력통일 구상을 승인했다. 이후 중국도 미국이 참전할 경우 전쟁 지원 의사를 밝히며 1950년 5월 무렵에는 북한, 중국, 소련이라는 공산주의 3국간에 대남 무력 공격에 대한 완전한 합의가 이루어졌다. 한편 이러한 무력통일 구상을 실행에 옮기기 위한 북한의 군사력 증강 또한 이루어졌다. 북한은 1948년 말경부터 군사력 증강작업에 착수하여 소련제 전차와 기계화 부대를 중점적으로 편성하기 시작했다. 이어 1949년 7~8월경 소련제 무기와 장비들이 대규모로 북한으로 밀반입되기 시작했고 국공내전에서 중국공산당이 승리한 후에는 5만 명에 가까운 중국군 출신 한인들이 북한으로 귀환하면서 북한 지상군의 전력은 급격히 증강되었다."
사건,한국전쟁,,"김일성과 스탈린이 마오쩌둥과 협의해 수립한 남침계획의 기본전략은 1950년 6월 말에 전면공격으로 신속히 서울을 점령하고 남한 내부에서 인민봉기를 유발해 한국정부를 전복하는 한편, 빠른 시일 내에 남해안까지 진출해 미국 증원군의 한반도 상륙을 막고 1개월 내에 전쟁을 종결한다는 것이었다. 이러한 계획에 따라 북한군 부대들은 1950년 6월 23일까지 모든 공격준비를 마쳤고 그 사이 북한정권은 평화통일안을 남한에 제의하는 등 위장 평화공세를 이어갔다. 1950년 6월 25일 새벽, 38도선 전역에서 북한군은 전면공격을 시작했다. 당시 한국군은 북한군보다 병력이 열세였을 뿐 아니라 미국이 이승만 정권이 내세운 ‘북진통일’의 위험성을 우려하여 별다른 무기 지원을 하지 않았기 때문에 무기와 장비를 제대로 갖추지 못한 상태였다. 이에 더해 6월 23일, 육군 본부는 자정을 기해 비상경계령을 해제하였고 24일 밤에는 사단장급 이상 일선 지휘관들이 육군 장교구락부 개관 연회에 참석하기 위해 근무지를 벗어나 있었다. 이러한 상황에서 한국군은 북한군의 전면공격에 효과적으로 방어하지 못하고 급격히 붕괴되었으며 북한군은 전쟁 발발 다섯 시간도 안 되어 개성을, 3일 만에 당초 계획대로 서울을 점령했다. 그러나 북한군은 본래의 계획처럼 한국군을 한강계선 이남에서 포위, 섬멸하는데 실패했고, 도하장비 및 훈련의 부족으로 진격이 지체되었으며, 예상했던 인민봉기 또한 발생하지 않았다. 결국 이러한 차질로 인해 남해안 진출이 늦어지며 미국이 한반도에 개입하기 전에 신속히 전쟁을 끝내려던 북한의 초기 계획은 실패로 돌아갔다. 한편 유엔을 동원한 미국의 전쟁 개입은 매우 신속하게 이루어졌다. 전쟁발발 소식을 접한 미국은 미국 시간으로 6월 25일 유엔안전보장이사회를 긴급소집하여 북한이 평화를 파괴하고 있으며, 적대행위를 즉각 중지하고 북한군을 38도선 이북으로 철수시키라는 결의안을 채택했다. 이어 7월 7일에는 안전보장이사회에서 한반도에서의 군사활동을 위한 유엔군 구성이 결정되었으며, 이를 위해 미국에 최고지휘권이 위임되고 미 극동군 사령관 맥아더(Douglas MacArthur)가 유엔군 사령관에 임명되었다. 이렇게 전쟁에 참전하게 된 유엔군은 부산을 거점으로 낙동강 방어선을 지켜내면서 반격의 기회를 노렸다."
사건,한국전쟁,,"1950년 9월 15일 감행된 유엔군의 인천상륙작전은 밀리던 전세를 일거에 뒤집는 계기였다. 인천상륙작전을 성공시킨 맥아더는 제2차 세계대전 중 수많은 상륙작전을 성공시킨 인물이었고, 조수간만의 차와 복잡한 지형을 이유로 인천상륙작전을 만류하는 미 합동참모본부를 설득해 승인을 얻어내고 어려운 상륙작전을 성공시켰다. 인천상륙작전에는 261척의 함대와 미 해병대 제1사단, 미 제7사단 등 총 7만 5천 명의 병력이 투입되었으며, 낙동강 전선에 대부분의 군대를 투입하고 있던 북한군은 인천에서 제대로 저항 한 번 못하고 붕괴되었다. 인천에 상륙한 유엔군은 9월 26일에는 서울에 진입하였고 이후 동해안과 서해안을 따라 38선에 가깝게 계속 북상하였다. 인천상륙작전을 통한 전세 역전으로 한국군과 유엔군이 9월 말까지 사실상 전쟁 이전의 상태를 회복하자 전쟁 이전의 분계선이었던 38도선의 돌파 여부가 최대의 관심사로 부각되기 시작했다. 38도선 돌파 문제는 유엔군 참전의 목적 문제와도 연관되었고 중국과 소련의 전쟁 개입의 빌미가 될 수 있다는 점에서 예민한 문제였다. 그러나 1950년 9월 27일 미국의 트루먼(Harry S. Truman) 대통령은 중국과 소련을 자극하지 않기 위해 국경지역에는 한국군만 진출케 한다는 조건으로 미군의 38선 돌파를 승인했고, 이어 1950년 10월 7일 열린 유엔총회 또한 이른바 ‘10·7 통일한국 결의안’을 채택함으로써 유엔군의 참전 목적을 한반도의 원상회복이 아닌 완전한 군사적 승리로 재규정하고 유엔군의 북진을 허가했다. 이로써 10월 1일, 한국군과 유엔군은 38선을 넘었고 전쟁은 새로운 국면으로 접어들었다."
사건,한국전쟁,,"후퇴하기 시작한 북한군은 중간에 방어망을 칠 여유조차 없이 북쪽으로 밀렸고 38선을 돌파한 한국군과 유엔군의 전진은 거칠 것 없이 계속되었다. 이에 유엔군 사령관 맥아더는 국경지대에는 한국군만 파견하라는 트루먼 대통령의 지시를 묵살하고, 10월 24일 모든 유엔군에 압록강까지 진격하라는 명령을 내렸다. 중국은 유엔군의 38선 돌파에 대해 이미 여러 경로로 경고하였으나 맥아더는 중국군의 개입 가능성이 전혀 없으며 설사 중국이 개입한다 하더라도 유엔군이 대승을 거둘 것이라 낙관하고 있었다. 그러나 중국은 10월 13일 6·25전쟁 출병을 최종적으로 결정하였고, 10월 19일과 10월 26일 두 차례에 걸쳐 18개 사단 20만여 명의 중국군이 압록강을 넘어 한반도로 들어왔다. 결국 맥아더의 명령에 따라 압록강으로 진격하던 한국군과 유엔군은 10월 25일부터 중국군의 공세에 맞닥뜨려 진격을 정지하고 청천강 선으로 물러설 수밖에 없었다. 그러나 이 시점에서도 유엔군사령부는 소수의 중국군이 참전한 것으로 판단하고 중국군이 조직적 전력을 갖추기 전에 전쟁을 종결 짓겠다는 구상으로 11월 24일 다시 압록강을 향한 진격작전을 재개했다. 유엔군의 진격이 재개된 직후인 11월 25일과 26일, 중국군은 18개 사단에 이르는 막대한 병력으로 서부전선을 공격하여 유엔군의 방어선은 붕괴되었고, 11월 28일 맥아더는 ‘완전히 새로운 전쟁’에 직면해 있다는 특별성명을 통해 중국군 참전에 대한 자신의 오판을 공식적으로 인정해야 했다. 유엔군의 방어선이 급속히 붕괴되며 이른바 ‘12월 후퇴’가 이루어졌다. 12월 26일 중국군과 북한군은 38선을 넘어 남진을 시작했고 1월 4일에는 다시 수도 서울을 점령했다."
